TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1565633160708, 9.056418, 5.295388, -6.8952613, -2.5363257, 0.4490238, 0.4250405, -0.14168017, 0.029827405
1565633160717, 8.443428, 4.7325587, -6.351592, -2.924319, 0.38035312, 0.37284255, -0.07243799, 0.020240024
1565633160717, 8.018629, 4.045188, -6.1887307, -3.1039455, 0.30984733, 0.30679616, -0.018109497, 0.039414786
1565633160726, 7.9039025, 3.6955154, -6.1504107, -3.3147073, 0.25945476, 0.2514024, 0.04261058, 0.0479369
1565633160726, 7.973655, 3.5901344, -6.1384354, -3.6068995, 0.21328712, 0.17257284, 0.10652645, 0.066046394
1565633160737, 7.9704247, 3.5182838, -6.200706, -3.5637891, 0.19376689, 0.10333065, 0.14807177, 0.070307456
1565633160737, 8.154053, 3.5182838, -6.4833183, -3.4751735, 0.21049151, 0.03834952, 0.19387813, 0.07243799
1565633160745, 8.269526, 3.4057178, -6.5096636, -3.796106, 0.28488007, -0.037284255, 0.27057716, 0.080960095
1565633160746, 8.1677265, 3.2045362, -6.4042826, -3.9278321, 0.34228823, -0.10652645, 0.3121225, 0.09161274
1565633160756, 8.022406, 3.0847852, -6.444998, -3.647615, 0.40436432, -0.17257284, 0.350472, 0.10439592
1565633160756, 8.047037, 3.0728102, -6.557564, -3.5087037, 0.4733611, -0.23009712, 0.3920173, 0.13209279
1565633160769, 7.8526464, 3.0009596, -6.4905033, -3.2452517, 0.52878016, -0.27483824, 0.4293016, 0.14061491
1565633160769, 7.8135633, 2.9051588, -6.564749, -3.0847852, 0.57224935, -0.3270362, 0.44528055, 0.14913702
1565633160779, 7.7990923, 2.8524685, -6.6509695, -2.907554, 0.61065674, -0.3653857, 0.46019423, 0.16618125
1565633160779, 7.8293924, 2.9099488, -6.715635, -2.7806177, 0.65720946, -0.4111921, 0.48043427, 0.17896444
1565633160788, 7.7528167, 2.9817994, -6.70366, -2.5051906, 0.68988436, -0.43356264, 0.5028048, 0.18748654
1565633160788, 7.8630743, 2.9865894, -6.8976564, -2.308799, 0.7153384, -0.4612595, 0.5070659, 0.20453078
1565633160798, 7.896818, 3.0656252, -6.947952, -2.1650977, 0.75895596, -0.49641323, 0.5305017, 0.21944448
1565633160799, 7.9792805, 3.0536501, -7.067703, -2.095642, 0.7829187, -0.5187838, 0.53795856, 0.23329292
1565633160808, 8.037847, 2.914739, -7.2497244, -1.8848804, 0.7904873, -0.53263223, 0.5251754, 0.25566345
1565633160809, 8.081085, 3.0153298, -7.2808595, -1.7890797, 0.784964, -0.54648066, 0.49428272, 0.27057716
1565633160819, 8.234008, 3.032095, -7.479646, -1.6310084, 0.7719949, -0.54648066, 0.4612595, 0.2908172
1565633160819, 8.365949, 2.9746144, -7.676038, -1.4897022, 0.74252903, -0.53795856, 0.4048005, 0.31318775
1565633160829, 8.558348, 2.9674294, -7.8915896, -1.4705421, 0.7278384, -0.5336975, 0.350472, 0.34940675
1565633160829, 8.646467, 2.9219239, -8.025711, -1.346001, 0.70555335, -0.5219796, 0.28122982, 0.38242993
1565633160839, 8.639198, 2.8692336, -8.037686, -1.341211, 0.6816402, -0.5049353, 0.19707392, 0.4133226
1565633160839, 8.6427, 2.9051588, -8.047266, -1.223855, 0.6672034, -0.479369, 0.11930962, 0.44847634
1565633160849, 8.681754, 2.9506643, -8.087981, -1.1184741, 0.67019105, -0.45699844, 0.05752428, 0.48682585
1565633160849, 8.714355, 3.0009596, -8.1071415, -1.099314, 0.67421985, -0.43569317, 0.0031957934, 0.51452273
1565633160859, 8.650938, 3.0967603, -8.004155, -1.0873389, 0.6782532, -0.3930826, -0.046871636, 0.55074173
1565633160860, 8.520399, 3.173401, -7.8556643, -0.9029224, 0.6889009, -0.36432046, -0.06924219, 0.58056915
1565633160869, 8.514193, 3.1997461, -7.829319, -0.977168, 0.69845617, -0.33449304, -0.08522116, 0.60720074
1565633160870, 8.546092, 3.3171022, -7.8029737, -1.0705738, 0.71936905, -0.30679616, -0.08948222, 0.644485
1565633160879, 8.650525, 3.5709743, -7.783814, -1.22146, 0.72445893, -0.27483824, -0.08628642, 0.664725
1565633160880, 8.768914, 3.7338357, -7.8580594, -1.096919, 0.7228312, -0.25033715, -0.080960095, 0.67324716
1565633160889, 8.9035015, 3.8799317, -7.951465, -0.9963282, 0.72021574, -0.20772657, -0.07989483, 0.6849651
1565633160890, 9.193792, 4.0116577, -8.207732, -1.0322535, 0.7081958, -0.14594123, -0.098004326, 0.6860303
1565633160897, 9.428412, 4.1864944, -8.406519, -0.83586186, 0.72030544, -0.08948222, -0.13422333, 0.70200926
1565633160898, 9.554848, 4.0906935, -8.595725, -0.8214917, 0.75743675, -0.015978966, -0.18216023, 0.7350325
1565633160910, 9.754021, 4.1625443, -8.792117, -0.7161109, 0.78854686, 0.05539375, -0.25353295, 0.74461985
1565633160911, 9.867158, 4.1625443, -8.909473, -0.8095166, 0.84799397, 0.128897, -0.32810146, 0.77125144
1565633160920, 10.160852, 4.184099, -9.204061, -1.0106983, 0.91362554, 0.18002969, -0.3898868, 0.8064052
1565633160921, 10.250691, 4.385281, -9.16095, -1.3867164, 0.9775768, 0.21518342, -0.44847634, 0.84155893
1565633160932, 10.607642, 4.641548, -9.354947, -1.8609302, 1.0299327, 0.24927188, -0.4910869, 0.87032104
1565633160933, 10.805668, 5.017566, -9.311836, -2.208208, 1.0732205, 0.2695119, -0.5091964, 0.9054748
1565633160938, 11.108597, 5.3097587, -9.4435625, -2.454895, 1.0855796, 0.2876214, -0.51026165, 0.9139969
1565633160939, 11.342656, 5.6498513, -9.429193, -2.7973828, 1.0693882, 0.26631612, -0.4910869, 0.91186637
1565633160950, 11.751249, 6.09293, -9.510623, -3.2428565, 1.0443178, 0.24927188, -0.47723848, 0.8948221
1565633160951, 11.349192, 6.1240654, -9.0076685, -3.187771, 1.0323753, 0.23116238, -0.44741106, 0.9012137
1565633160961, 12.125623, 6.8114357, -9.364527, -3.5973196, 0.96906346, 0.19387813, -0.42717105, 0.8479505
1565633160962, 12.724988, 7.446116, -9.616004, -3.7434156, 0.90008855, 0.17044231, -0.38456047, 0.7957525
1565633160970, 13.313294, 8.040081, -9.934542, -3.7290456, 0.82641315, 0.13315806, -0.36005938, 0.7318367
1565633160970, 13.357841, 8.222102, -9.81, -3.8200562, 0.7425825, 0.096939065, -0.34408042, 0.6508766
1565633160979, 13.195766, 8.301138, -9.575289, -3.67875, 0.67024523, 0.06924219, -0.3387541, 0.57417756
1565633160979, 13.421347, 8.581355, -9.726174, -3.4488282, 0.61774415, 0.049002163, -0.3334278, 0.51771855
1565633160988, 13.264997, 8.351434, -9.726174, -3.408113, 0.53771377, 0.033023197, -0.33449304, 0.41971418
1565633160989, 14.391576, 9.251961, -10.574012, -3.1159205, 0.4330808, 0.043675844, -0.30679616, 0.30253512
1565633161000, 14.874427, 9.436378, -11.081756, -3.0656252, 0.35939378, 0.058589544, -0.29188246, 0.20133498
1565633161001, 14.311674, 8.811277, -10.902129, -2.8859987, 0.34058824, 0.0628506, -0.3089267, 0.128897
1565633161009, 13.898304, 8.222102, -10.837463, -2.8476784, 0.33404663, 0.08522116, -0.3121225, 0.083090626
1565633161009, 14.045795, 8.047266, -11.153606, -2.8500733, 0.33696386, 0.08522116, -0.32277513, 0.04580637
1565633161020, 14.461264, 8.059241, -11.656561, -2.8812087, 0.31084737, 0.08735169, -0.29827404, 0.0053263223
1565633161020, 14.581994, 7.7215433, -11.994258, -3.0249097, 0.3163764, 0.09054748, -0.30253512, -0.01917476
1565633161031, 14.544114, 7.2928348, -12.20981, -3.04407, 0.31261474, 0.08522116, -0.30040458, -0.014913702
1565633161031, 14.673374, 7.1251836, -12.420572, -3.2045362, 0.3126692, 0.07456851, -0.30360037, 0.0053263223
1565633161039, 14.931787, 7.0006423, -12.74869, -3.3793726, 0.29963106, 0.0479369, -0.29507825, 0.020240024
1565633161040, 15.449964, 7.2425394, -13.206139, -3.4416432, 0.28694594, 0.03089267, -0.28336033, 0.033023197
1565633161050, 15.648427, 7.2976246, -13.390554, -3.5087037, 0.2682352, 0.002130529, -0.26631612, 0.03195793
1565633161050, 15.791765, 7.3862405, -13.543836, -3.3745828, 0.28321013, -0.03834952, -0.2759035, 0.051132694
1565633161058, 15.935768, 7.431746, -13.620477, -3.6332448, 0.2825663, -0.070307456, -0.26844665, 0.053263225
1565633161058, 16.00026, 7.676038, -13.606107, -3.4584084, 0.28793883, -0.111852765, -0.25992453, 0.053263225
1565633161068, 16.194897, 7.9347, -13.675562, -3.5063088, 0.29296708, -0.15020229, -0.25033715, 0.024501082
1565633161068, 16.18963, 8.270002, -13.519886, -3.3051271, 0.3006783, -0.18109496, -0.2396845, 0.0127831735
1565633161078, 16.070072, 8.408914, -13.321099, -3.175796, 0.2998677, -0.18961707, -0.23009712, -0.03195793
1565633161078, 15.753801, 8.6077, -12.882811, -2.8500733, 0.306352, -0.20026971, -0.221575, -0.068176925
1565633161087, 15.437431, 8.760982, -12.463682, -2.4932153, 0.32506627, -0.2066613, -0.21837921, -0.12357068
1565633161088, 15.186732, 8.976534, -12.015814, -2.3830445, 0.34002134, -0.19707392, -0.20879184, -0.18216023
1565633161100, 14.75891, 8.995694, -11.498489, -2.1650977, 0.36087948, -0.18109496, -0.19068234, -0.24714136
1565633161100, 14.186918, 8.947793, -10.856624, -1.8274, 0.40318677, -0.15020229, -0.17789917, -0.3291667
1565633161111, 13.868791, 9.050779, -10.399176, -1.5112574, 0.4742545, -0.12676647, -0.17576863, -0.42184472
1565633161111, 13.47533, 9.093889, -9.860296, -1.2885206, 0.55824023, -0.098004326, -0.16192019, -0.5251754
