TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1565633200408, 9.159722, 0.41912845, -0.6442603, 9.127419, 0.8002427, -0.22583607, -0.38775626, 0.6625945
1565633200418, 9.178102, 0.07185059, -0.42152345, 9.168135, 0.87519175, -0.221575, -0.45380265, 0.71479243
1565633200419, 8.86467, -0.26105714, -0.33769777, 8.854387, 1.011266, -0.23116238, -0.5752428, 0.79894835
1565633200428, 8.58733, -0.47900394, -0.2802173, 8.56938, 1.1497569, -0.22690132, -0.70840085, 0.8767126
1565633200429, 8.26161, -0.5987549, -0.23710695, 8.236472, 1.2912648, -0.26312032, -0.8202536, 0.9619338
1565633200438, 7.7773504, -0.4742139, -0.28979737, 7.7574687, 1.4222381, -0.28868666, -0.9289106, 1.0375676
1565633200439, 7.169862, -0.50774413, -0.2706372, 7.1467385, 1.5568992, -0.35579833, -1.0205233, 1.1206582
1565633200450, 6.5965114, -0.48139894, -0.17004639, 6.576724, 1.673777, -0.42184472, -1.0908308, 1.1973573
1565633200450, 6.6088676, -0.2203418, -0.244292, 6.600674, 1.7600497, -0.47617322, -1.1408982, 1.252751
1565633200459, 6.762717, 0.33530274, -0.32093263, 6.7467704, 1.8123858, -0.535828, -1.1547467, 1.2900352
1565633200460, 6.7400184, 0.8214917, -0.44547364, 6.6749196, 1.8647366, -0.5795039, -1.1781825, 1.3241237
1565633200469, 7.109864, 1.2430152, -0.60354495, 6.974297, 1.900143, -0.6306366, -1.2069446, 1.325189
1565633200470, 6.817904, 1.6190332, -0.8933423, 6.5623536, 1.943702, -0.66579026, -1.2708606, 1.3113406
1565633200480, 7.4989276, 1.9711012, -0.98195803, 7.168294, 1.9844161, -0.67963874, -1.3315805, 1.3049489
1565633200480, 8.13845, 2.3686745, -1.0370435, 7.7167535, 1.959653, -0.72651035, -1.3028184, 1.2708606
1565633200489, 6.9375353, 2.929109, -1.219065, 6.1695704, 2.053502, -0.7307714, -1.4583471, 1.2474247
1565633200489, 10.586782, 3.7458107, -1.463357, 9.793235, 2.1691206, -0.6199839, -1.7694043, 1.0908308
1565633200500, 9.645303, 4.711004, -1.0059083, 8.356223, 2.193478, -0.54648066, -1.8940402, 0.9619338
1565633200500, 9.349794, 4.2248144, -0.47181886, 8.327483, 2.0059044, -0.56672066, -1.7204021, 0.86179894
1565633200508, 8.291882, 3.9829175, -0.57719976, 7.2497244, 1.9089732, -0.5837649, -1.6319852, 0.8000136
1565633200508, 9.129602, 3.8559816, -1.1448194, 8.195757, 1.7485679, -0.5219796, -1.490305, 0.75101143
1565633200520, 8.4703455, 3.6021094, -1.6597486, 7.4844365, 1.5782421, -0.5070659, -1.3177321, 0.7052051
1565633200521, 8.080991, 3.7482057, -1.8106349, 6.926397, 1.4716091, -0.50387007, -1.2175972, 0.65513766
1565633200531, 8.863972, 3.6332448, -1.6357985, 7.917935, 1.3656944, -0.5219796, -1.1057445, 0.608266
1565633200531, 7.531444, 3.4871485, -1.590293, 6.4833183, 1.2929822, -0.52837116, -1.019458, 0.5944176
1565633200540, 8.696721, 3.293152, -1.5112574, 7.9059596, 1.2129232, -0.5230448, -0.90973586, 0.608266
1565633200541, 7.2061925, 3.271597, -1.7531544, 6.1767554, 1.1665282, -0.5539375, -0.8309063, 0.60293967
1565633200550, 7.984302, 3.2284865, -1.7124391, 7.0988383, 1.1171399, -0.5816344, -0.74675035, 0.5933523
1565633200550, 7.312875, 3.4057178, -1.8681153, 6.1959157, 1.1132141, -0.62317973, -0.71159667, 0.58696073
1565633200560, 7.4908624, 3.7434156, -2.0309765, 6.1623855, 1.1341565, -0.660464, -0.71798825, 0.5784386
1565633200561, 8.020824, 3.8727467, -2.1195924, 6.696475, 1.1632966, -0.72011876, -0.73609775, 0.5411543
1565633200571, 7.4186997, 4.040398, -2.3758595, 5.750442, 1.2191997, -0.78723043, -0.77231675, 0.51984906
1565633200571, 7.5480556, 4.0667434, -2.3016138, 5.927674, 1.2979316, -0.8490158, -0.8543421, 0.48363006
1565633200581, 7.5845046, 4.169729, -2.3830445, 5.870193, 1.3750237, -0.92038846, -0.9214538, 0.44101948
1565633200581, 7.679071, 4.2343946, -2.3758595, 5.949229, 1.4471639, -0.9864349, -0.9757822, 0.4111921
1565633200591, 7.6395535, 4.380491, -2.3447242, 5.8031325, 1.5551561, -1.0929613, -1.0460896, 0.36005938
1565633200592, 8.045281, 4.8331494, -2.4788454, 5.934859, 1.6518697, -1.1781825, -1.1195929, 0.29507825
1565633200601, 8.267289, 5.206773, -2.5818312, 5.879773, 1.7519426, -1.2740563, -1.180313, 0.23009712
1565633200602, 8.4636, 5.4510646, -2.5985963, 5.9300685, 1.8637153, -1.3688648, -1.2559468, 0.14913702
1565633200611, 8.791285, 5.5372853, -2.7422974, 6.253396, 1.971356, -1.4562165, -1.3262542, 0.082025364
1565633200612, 8.922291, 5.4438796, -2.7446926, 6.5144534, 2.037147, -1.5169365, -1.3592775, 0.035153728
1565633200622, 9.216371, 5.4462748, -2.816543, 6.8808913, 2.09268, -1.5819178, -1.3699301, -0.011717909
1565633200622, 9.538357, 5.3097587, -3.0009596, 7.33355, 2.129057, -1.6266588, -1.3731259, -0.037284255
1565633200632, 9.814803, 5.024751, -3.1159205, 7.8341093, 2.1350946, -1.6415725, -1.3646038, -0.041545313
1565633200632, 10.010777, 4.785249, -3.1853762, 8.195757, 2.131094, -1.6490294, -1.3496901, -0.024501082
1565633200642, 10.1553135, 4.409231, -3.1374757, 8.59333, 2.097573, -1.6405072, -1.3070794, 0.00958738
1565633200642, 10.013675, 4.2248144, -3.0991554, 8.533455, 2.0375707, -1.6330504, -1.2175972, 0.0479369
1565633200652, 10.312584, 4.488267, -3.1614258, 8.729847, 1.9537301, -1.6170714, -1.0940266, 0.07243799
1565633200652, 10.557551, 4.9552956, -3.420088, 8.672366, 1.8981081, -1.6010925, -1.0173275, 0.066046394
1565633200664, 11.113715, 5.48699, -3.6116896, 8.964559, 1.8474604, -1.5584819, -0.9917612, 0.025566347
1565633200665, 11.74797, 5.8103175, -3.65959, 9.532178, 1.819624, -1.4977618, -1.0333065, -0.004261058
1565633200672, 12.623305, 5.7863674, -3.3697927, 10.700948, 1.7648224, -1.4157364, -1.0535465, -0.018109497
1565633200672, 10.896725, 5.625901, -3.4464333, 8.672366, 1.7432352, -1.3635385, -1.0855045, -0.036218993
1565633200682, 12.322217, 5.9875493, -3.295547, 10.253079, 1.7065593, -1.3166668, -1.0844392, -0.05219796
1565633200683, 11.167103, 6.3132715, -3.4679885, 8.533455, 1.7184384, -1.3081448, -1.1089402, -0.10972224
1565633200692, 11.743264, 6.9168167, -3.3266823, 8.8879175, 1.7369187, -1.2953615, -1.1430287, -0.18002969
1565633200693, 11.623347, 6.969507, -3.1925611, 8.737032, 1.760497, -1.3187973, -1.1408982, -0.24181503
1565633200703, 10.646105, 6.969507, -3.0177248, 7.460486, 1.8133836, -1.3539511, -1.1696603, -0.29507825
1565633200703, 11.669158, 7.194639, -2.8261232, 8.741821, 1.8773472, -1.4125407, -1.1813782, -0.3653857
1565633200712, 10.433526, 7.216194, -3.056045, 6.8880763, 1.9696945, -1.4679344, -1.2378373, -0.43888897
1565633200713, 11.88767, 7.1778736, -3.0919704, 8.957374, 2.0353136, -1.5094798, -1.2751216, -0.4878911
1565633200722, 10.670669, 7.0150127, -3.0344899, 7.446116, 2.1193862, -1.5712651, -1.3187973, -0.53263223
1565633200723, 11.414029, 6.7898808, -3.0153298, 8.665181, 2.1482549, -1.5947009, -1.32945, -0.551807
1565633200732, 11.120208, 6.471343, -3.178191, 8.466394, 2.1734214, -1.6405072, -1.3145363, -0.551807
1565633200733, 10.996045, 6.3707523, -3.2093263, 8.368198, 2.154804, -1.6468989, -1.2729911, -0.5571333
1565633200743, 11.973788, 6.351592, -3.2284865, 9.623189, 2.122123, -1.6479641, -1.2069446, -0.5752428
1565633200743, 11.144361, 6.353987, -3.420088, 8.49274, 2.1026483, -1.6287893, -1.196292, -0.58056915
1565633200753, 12.699383, 6.2677665, -3.4416432, 10.494976, 2.0429232, -1.5947009, -1.1334413, -0.588026
1565633200753, 11.386308, 5.9875493, -3.4967287, 9.031619, 2.0055437, -1.567004, -1.1100056, -0.5784386
1565633200763, 12.585069, 5.8965383, -3.5087037, 10.550061, 1.9293624, -1.506284, -1.0578076, -0.5784386
1565633200764, 11.897319, 5.5516553, -3.5829494, 9.8938265, 1.866576, -1.4594123, -1.0279802, -0.5454154
1565633200772, 11.89762, 5.3073635, -3.5134938, 10.051897, 1.7917241, -1.401888, -0.99282646, -0.5091964
1565633200773, 11.96347, 5.158872, -3.530259, 10.200389, 1.7318596, -1.3411679, -0.9800433, -0.49002165
1565633200783, 11.716409, 5.216353, -3.5566041, 9.869876, 1.6812705, -1.3156016, -0.94488955, -0.45060685
1565633200784, 11.516119, 5.336104, -3.5494192, 9.568104, 1.6343343, -1.2900352, -0.9044095, -0.4346279
1565633200793, 11.305402, 5.4127445, -3.5566041, 9.266331, 1.5832647, -1.2719258, -0.84688526, -0.41438788
1565633200794, 11.1638975, 5.362449, -3.5015187, 9.144185, 1.568126, -1.2665994, -0.83729786, -0.3920173
1565633200804, 11.136612, 5.582791, -3.4608033, 8.993299, 1.570297, -1.2644689, -0.84155893, -0.39840892
1565633200804, 11.1976385, 5.7911572, -3.4703834, 8.933423, 1.582404, -1.2612731, -0.8671253, -0.4016047
1565633200814, 11.180031, 5.9013286, -3.4488282, 8.847202, 1.6034636, -1.2644689, -0.8990832, -0.4048005
1565633200814, 11.02646, 5.9133034, -3.3338673, 8.689131, 1.6501565, -1.2740563, -0.9683254, -0.40266997
1565633200823, 11.061485, 6.119275, -3.4536183, 8.5430355, 1.7033539, -1.3049489, -1.0120013, -0.41758367
1565633200824, 11.704802, 6.758745, -4.0499783, 8.655601, 1.8261222, -1.3379722, -1.1430287, -0.4878911
1565633200834, 12.149522, 7.5251517, -4.064348, 8.629255, 1.8867869, -1.28897, -1.2602079, -0.5571333
1565633200834, 12.371566, 7.4054008, -3.5206788, 9.263936, 1.9885685, -1.2389026, -1.4242586, -0.62531024
1565633200844, 12.23155, 6.947952, -3.0991554, 9.577683, 2.1141832, -1.2048141, -1.6010925, -0.6743124
1565633200844, 12.310593, 6.878496, -3.300337, 9.6615095, 2.2548215, -1.1515509, -1.8024274, -0.7137272
1565633200854, 12.366375, 7.060518, -3.67875, 9.462723, 2.3764007, -1.1100056, -1.9664782, -0.74035877
1565633200854, 12.149649, 6.928792, -3.8128712, 9.223221, 2.5008874, -1.087635, -2.1177456, -0.76592517
1565633200864, 11.671577, 6.6773148, -3.7529957, 8.806487, 2.5733907, -1.0908308, -2.198706, -0.773382
1565633200864, 10.869541, 6.1695704, -3.4991236, 8.236472, 2.5426638, -1.099353, -2.1731396, -0.7307714
1565633200875, 10.451862, 5.271438, -3.2093263, 8.435259, 2.3861356, -1.1206582, -2.0069582, -0.6402239
1565633200875, 9.2754755, 4.967271, -3.427273, 7.0437527, 2.2349248, -1.144094, -1.8407769, -0.5454154
1565633200884, 10.925038, 5.225933, -3.535049, 8.919053, 2.053919, -1.1622036, -1.6245283, -0.47830373
1565633200885, 9.852622, 5.609136, -3.896697, 7.101233, 1.9076847, -1.1856394, -1.4327807, -0.4250405
1565633200894, 11.586439, 6.1791506, -3.896697, 8.993299, 1.7173563, -1.164334, -1.2037488, -0.38029942
1565633200895, 11.001928, 6.478528, -3.9517825, 7.965835, 1.5698749, -1.144094, -1.0173275, -0.3472762
1565633200904, 12.113741, 6.952742, -3.9901028, 9.081915, 1.4478997, -1.0823087, -0.90014845, -0.3387541
1565633200905, 12.647522, 7.2760696, -4.030818, 9.527389, 1.367878, -1.0056096, -0.8490158, -0.37284255
1565633200917, 12.471752, 7.577842, -4.009263, 9.057964, 1.3345455, -0.9044095, -0.8905611, -0.41225734
1565633200918, 13.509529, 7.726333, -3.8751419, 10.38241, 1.3106719, -0.80533993, -0.9353022, -0.44101948
1565633200925, 12.046919, 7.781419, -3.923042, 8.3179035, 1.3819108, -0.7392935, -1.063134, -0.4825648
1565633200926, 12.993395, 7.7790236, -3.8631666, 9.663904, 1.4571521, -0.67218184, -1.1813782, -0.5251754
