TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1566316698645, 5.2771983, 5.137317, -1.1975098, 0.15088624, 6.4966893, 0.94488955, -4.248275, 4.8235173
1566316698651, 15.060642, 11.160791, -10.061478, 1.0130934, 6.358664, 0.9800433, -4.1268344, 4.7372313
1566316698652, 14.99899, 11.03625, -9.960887, 1.9878663, 6.203881, 0.9853696, -3.9968722, 4.6413574
1566316698653, 19.317072, 16.37954, -10.229129, 0.4742139, 6.027378, 1.0130665, -3.8615837, 4.515656
1566316698653, 19.268503, 16.48013, -9.982442, -0.17723145, 5.8192034, 1.0077401, -3.685815, 4.38889
1566316698653, 19.297476, 16.683706, -9.697434, -0.07903565, 5.6028905, 1.0130665, -3.4993937, 4.256797
1566316698653, 19.258423, 16.856148, -9.307046, 0.36883304, 5.325805, 1.0013486, -3.242665, 4.104464
1566316698654, 19.368443, 17.1196, -9.0076685, -0.9580079, 5.0341096, 0.95128113, -2.9976542, 3.930826
1566316698654, 19.384829, 17.320782, -8.701106, 0.22992188, 4.678638, 0.91612744, -2.666357, 3.733752
1566316698656, 19.537432, 17.565075, -8.401729, -1.6094532, 4.310945, 0.8479505, -2.340386, 3.5196338
1566316698656, 19.609049, 17.881216, -8.042476, -0.30895755, 3.9126503, 0.77444726, -1.9718045, 3.2895367
1566316698658, 19.813177, 18.113533, -7.913145, -1.3579761, 3.5005772, 0.69774824, -1.5968314, 3.0360036
1566316698659, 20.045794, 18.463207, -7.7502837, -0.9364527, 3.073873, 0.6263755, -1.2282499, 2.747317
1566316698669, 20.091131, 18.587748, -7.6137676, -0.4239185, 2.6495092, 0.5592638, -0.85753787, 2.4437168
1566316698669, 20.126883, 18.640438, -7.5395217, -0.88376224, 2.2457745, 0.5123922, -0.531567, 2.1209416
1566316698679, 19.891043, 18.49434, -7.321575, 0.086220704, 1.8692478, 0.49641323, -0.22903186, 1.7875137
1566316698680, 19.556816, 18.190174, -7.1371584, 0.8047266, 1.5822334, 0.51452273, 0.04261058, 1.4956313
1566316698689, 19.11946, 17.76865, -6.962322, 1.1639795, 1.3442748, 0.5486112, 0.29614353, 1.1909657
1566316698690, 18.622824, 17.234562, -6.8761015, 1.5807129, 1.2186327, 0.6135923, 0.5113269, 0.92038846
1566316698699, 17.847279, 16.40828, -6.7731156, 1.8489552, 1.2036692, 0.6892261, 0.69135666, 0.7041398
1566316698700, 17.00794, 15.443087, -6.856941, 1.9399658, 1.2685891, 0.7701862, 0.8724516, 0.5049353
1566316698709, 16.200356, 14.492264, -7.0030375, 1.839375, 1.3913305, 0.8607337, 1.0365024, 0.3472762
1566316698709, 15.4347315, 13.656402, -7.1132083, 1.0657837, 1.5117221, 0.9491506, 1.1536814, 0.23116238
1566316698719, 14.624821, 12.628939, -7.1156034, 1.9399658, 1.6425887, 1.0077401, 1.2879047, 0.15446335
1566316698720, 13.859432, 11.881692, -7.1323686, -0.19639161, 1.7036088, 1.0301107, 1.3507553, 0.128897
