TimeStamp(epoch),ColourHit,CorrectColour,CorrectOrNot 
1566316382283, ORANGE, ORANGE, True 
1566316383404, GREEN, GREEN, True 
1566316384450, BLUE, BLUE, True 
1566316386007, YELLOW, YELLOW, True 
1566316387044, RED, RED, True 
1566316388230, BLUE, BLUE, True 
1566316389316, RED, RED, True 
1566316390435, YELLOW, YELLOW, True 
1566316391897, GREEN, GREEN, True 
1566316392800, BLUE, BLUE, True 
1566316393885, RED, RED, True 
1566316395850, BLUE, BLUE, True 
1566316396937, GREEN, GREEN, True 
1566316397999, RED, RED, True 
1566316399126, GREEN, GREEN, True 
