TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1565633655013, 10.535645, 7.0102224, -4.3349857, 6.5623536, 0.48795158, -0.3685815, 0.20026971, 0.24927188
1565633655021, 12.210013, 7.084468, -4.136199, 9.043594, 0.4313019, -0.30146983, 0.19281286, 0.24074976
1565633655022, 10.646511, 6.837781, -4.3301954, 6.9168167, 0.37736985, -0.25353295, 0.15233281, 0.23435818
1565633655033, 11.859246, 6.864126, -4.30385, 8.660391, 0.33777618, -0.15978967, 0.17044231, 0.24394555
1565633655033, 10.867462, 6.6174393, -4.392466, 7.417376, 0.3293063, -0.11611383, 0.17044231, 0.25672874
1565633655042, 11.020879, 6.550379, -4.380491, 7.704778, 0.3266977, -0.05006743, 0.16937704, 0.27483824
1565633655043, 10.880693, 6.353987, -4.361331, 7.680828, 0.33920604, -0.008522116, 0.17789917, 0.28868666
1565633655052, 10.373727, 6.2821364, -4.409231, 6.9790874, 0.3654385, 0.037284255, 0.16724652, 0.32277513
1565633655054, 10.895161, 6.071375, -4.4403663, 7.8820095, 0.37684172, 0.0777643, 0.13528858, 0.34301516
1565633655062, 9.811194, 5.9875493, -4.382886, 6.4186525, 0.40294886, 0.1107875, 0.084155895, 0.37816888
1565633655063, 10.687759, 6.006709, -4.3637257, 7.688013, 0.44846115, 0.16192019, 0.0479369, 0.41545314
1565633655072, 9.698371, 5.9013286, -4.394861, 6.318062, 0.46218976, 0.17789917, -0.036218993, 0.4250405
1565633655073, 10.171926, 6.006709, -4.375701, 6.945557, 0.5068454, 0.2034655, -0.09267801, 0.45486793
1565633655083, 9.661053, 5.9372535, -4.4379716, 6.1959157, 0.54782665, 0.18855181, -0.14594123, 0.49321744
1565633655083, 9.380091, 5.944439, -4.517007, 5.6785917, 0.56992936, 0.18216023, -0.1768339, 0.51026165
1565633655093, 9.747334, 5.865403, -4.5816727, 6.2941117, 0.58164805, 0.17576863, -0.15765914, 0.531567
1565633655094, 9.277703, 5.8917484, -4.6918435, 5.4175344, 0.59677726, 0.1555286, -0.13848437, 0.5592638
1565633655103, 9.325867, 5.9564137, -4.8163843, 5.319339, 0.6095342, 0.13102753, -0.14061491, 0.5784386
1565633655104, 9.199083, 5.824688, -4.7086086, 5.3408937, 0.6526064, 0.10439592, -0.21518342, 0.60720074
1565633655113, 9.729615, 6.5479836, -4.8523097, 5.3145485, 0.6477421, 0.09161274, -0.22690132, 0.5997439
1565633655113, 9.140108, 5.973179, -4.9289503, 4.854705, 0.67028165, 0.05006743, -0.20240025, 0.63702816
1565633655123, 8.783736, 5.4199295, -4.8091993, 4.9648757, 0.7301375, 0.025566347, -0.22370553, 0.6945524
1565633655124, 8.759121, 5.350474, -4.90979, 4.897815, 0.78656054, 0.010652645, -0.23009712, 0.7520767
