TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1566316760398, 3.1931431, 2.6321266, 1.0777588, -1.4513819, 3.2597868, -1.4689997, -2.8985846, -0.257794
1566316760408, 3.4570713, 2.7111623, 1.0873389, -1.8489552, 3.3453722, -1.7502295, -2.8442562, -0.19600865
1566316760408, 3.5796964, 2.8524685, 1.0346485, -1.8992506, 3.4769008, -2.0378509, -2.8133633, -0.14487597
1566316760417, 3.9427762, 3.1973512, 0.9053174, -2.1219873, 3.6230166, -2.336125, -2.7675571, -0.096939065
1566316760417, 4.103734, 3.3889527, 0.5556446, -2.2465284, 3.7706542, -2.646117, -2.6855316, -0.06178534
1566316760427, 4.229746, 3.5733693, 0.100590825, -2.2608986, 3.9250991, -2.9475868, -2.5917885, -0.027696876
1566316760427, 4.345625, 3.8080812, -0.30177248, -2.071692, 4.090273, -3.2575786, -2.4735441, -0.00958738
1566316760438, 4.379997, 4.006868, -0.6849756, -1.6310084, 4.2085066, -3.5153728, -2.3137543, 0.014913702
1566316760438, 4.459265, 4.184099, -1.2621753, -0.8861573, 4.3130684, -3.7401435, -2.1475732, 0.04261058
1566316760448, 4.8805103, 4.517007, -1.8465601, 0.07903565, 4.37534, -3.8935416, -1.9952403, 0.054328486
1566316760448, 5.587489, 4.897815, -2.304009, 1.3867164, 4.4092937, -3.983024, -1.8908445, 0.04580637
1566316760458, 6.6001167, 5.225933, -2.694397, 2.9985645, 4.4000106, -3.995807, -1.8418423, 0.035153728
1566316760458, 7.1083465, 5.3959794, -3.0416749, 3.4871485, 4.378971, -3.9542618, -1.881257, -0.008522116
1566316760468, 8.438808, 5.7480474, -3.3410523, 5.1971927, 4.3277617, -3.8338869, -2.0069582, -0.054328486
1566316760469, 9.1343975, 5.688172, -3.5206788, 6.219866, 4.27569, -3.6804886, -2.1731396, -0.113983296
1566316760478, 9.887836, 5.831873, -3.8535867, 6.9934573, 4.2133093, -3.4450653, -2.4192157, -0.17576863
1566316760479, 11.115511, 5.7719975, -3.908672, 8.657996, 4.1613455, -3.1766186, -2.6770096, -0.24394555
1566316760488, 10.348716, 5.513335, -4.0691385, 7.7550735, 4.1968927, -2.9071066, -3.012568, -0.29507825
1566316760489, 11.443585, 5.4342995, -4.0930886, 9.201666, 4.26552, -2.6226811, -3.3481262, -0.32597092
