TimeStamp(epoch),mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1566315785826, 9.804601, -0.34009278, 3.1997461, 9.261541, 0.36863077, 0.33662358, -0.046871636, 0.14274544
1566315785833, 9.77727, -0.35685793, 3.1973512, 9.2328005, 0.39178857, 0.36645097, -0.018109497, 0.13741912
1566315785834, 9.0511465, -0.33769777, 3.032095, 8.52148, 0.41412076, 0.3898868, -0.0031957934, 0.13954964
1566315785845, 9.93135, -0.30895755, 3.051255, 9.445957, 0.43337676, 0.4101268, 0.011717909, 0.13954964
1566315785846, 9.237208, -0.31135255, 2.9961696, 8.732242, 0.43161225, 0.4048005, 0.022370555, 0.14807177
1566315785853, 9.021158, -0.25147706, 3.05844, 8.48316, 0.44635853, 0.41438788, 0.03089267, 0.16298546
1566315785854, 9.111142, -0.21555176, 3.0201197, 8.59333, 0.40984312, 0.3749731, 0.02130529, 0.16405073
1566315785866, 8.074038, -0.06945557, 3.06323, 7.470066, 0.37458855, 0.3334278, -0.00958738, 0.17044231
1566315785866, 8.986763, 0.14370118, 3.1925611, 8.399334, 0.3463158, 0.30466563, -0.023435818, 0.16298546
1566315785876, 7.764407, 0.17723145, 3.0799952, 7.1251836, 0.30324507, 0.25033715, -0.082025364, 0.15020229
1566315785876, 8.759838, 0.5292993, 3.1973512, 8.138277, 0.27884912, 0.22370553, -0.11717909, 0.11824436
1566315785886, 7.854515, 0.59156984, 3.2308815, 7.1347637, 0.25853467, 0.17150758, -0.17470337, 0.083090626
1566315785886, 8.290471, 0.7113208, 3.1566358, 7.6329274, 0.27070504, 0.14061491, -0.22583607, 0.05006743
1566315785894, 8.472511, 0.66342044, 3.2452517, 7.798184, 0.29508018, 0.111852765, -0.2727077, 0.013848438
1566315785894, 7.828672, 0.74724615, 3.1015503, 7.1491337, 0.33314174, 0.08948222, -0.3206446, -0.0127831735
1566315785902, 8.818913, 0.72569096, 3.1494508, 8.205338, 0.35037163, 0.0777643, -0.33981937, -0.035153728
1566315785903, 7.5446973, 0.59156984, 2.9770093, 6.9072366, 0.37286842, 0.053263225, -0.36645097, -0.043675844
1566315785915, 8.808347, 0.6394702, 3.0752053, 8.229287, 0.35730055, 0.051132694, -0.35153726, -0.03834952
1566315785915, 7.635622, 0.4981641, 2.8285182, 7.074888, 0.48015547, 0.09054748, -0.4708469, -0.025566347
1566315785924, 9.333842, 0.91250247, 3.0943654, 8.758587, 0.5125184, 0.12676647, -0.49534798, -0.035153728
1566315785924, 8.456354, 0.76161623, 2.6776319, 7.9849954, 0.5560946, 0.10759171, -0.5432849, -0.05006743
1566315785933, 7.9250374, 0.859812, 2.5243506, 7.462881, 0.60319465, 0.09267801, -0.5933523, -0.056459017
1566315785933, 8.398751, 0.7711963, 2.5698562, 7.95865, 0.74913466, 0.11930962, -0.737163, -0.05965481
1566315785943, 9.518285, 1.1831397, 2.7303224, 9.041199, 0.97042024, 0.17044231, -0.95447695, -0.040480047
1566315785944, 9.877768, 1.3052857, 2.680027, 9.417217, 1.214914, 0.2695119, -1.1845741, 0.0127831735
1566315785953, 10.072778, 1.7148341, 2.335144, 9.64714, 1.4652792, 0.4111921, -1.406149, 0.026631612
1566315785954, 10.03385, 1.8824854, 2.1171973, 9.625584, 1.7007847, 0.5699165, -1.6021577, 0.03089267
1566315785963, 9.665845, 1.9351759, 1.8729054, 9.283096, 1.9371222, 0.73290193, -1.7928401, 0.03195793
1566315785963, 9.001772, 1.9016455, 1.7771046, 8.617281, 2.1760464, 0.86499476, -1.9963056, 0.041545313
1566315785973, 8.1161175, 1.6597486, 1.7986598, 7.7383084, 2.4665062, 0.9438243, -2.2786007, 0.02876214
1566315785974, 7.122767, 1.7387843, 1.7028589, 6.69408, 2.7699282, 0.9651296, -2.5960495, 0.039414786
1566315785984, 6.361221, 1.8824854, 1.6813037, 5.839058, 3.0740132, 0.95447695, -2.9220204, 0.018109497
1566315785984, 5.483688, 2.3255641, 1.6884888, 4.670288, 3.3457978, 0.90014845, -3.222425, -0.008522116
1566315785994, 4.6086764, 2.4692652, 1.7651294, 3.4679885, 3.4933972, 0.80533993, -3.3992589, -0.017044231
1566315785994, 3.7313192, 2.3135889, 2.0142114, 2.1243825, 3.500928, 0.65726817, -3.4386737, -0.004261058
1566315786004, 3.344269, 2.3303542, 2.2465284, 0.84065187, 3.4633582, 0.45486793, -3.4333472, 0.008522116
1566315786004, 3.5145352, 2.6225464, 2.3375392, -0.100590825, 3.9392488, 0.19068234, -3.9340217, -0.06924219
1566315786014, 5.5034404, 4.5792775, 2.9458742, -0.79993653, 3.981955, -0.041545313, -3.9808934, -0.082025364
1566315786016, 4.0668397, 2.6321266, 2.8452833, -1.2310401, 3.5655367, -0.257794, -3.5558527, -0.05006743
1566315786024, 3.179703, 1.6334034, 2.4333398, -1.2334352, 3.2102535, -0.5305017, -3.165966, -0.03089267
1566315786025, 2.6127129, 1.4585669, 2.1243825, -0.43110353, 3.0854664, -0.8202536, -2.9742184, 0.036218993
1566315786035, 2.3353949, 0.31135255, 2.2872438, 0.3544629, 2.84598, -1.0439591, -2.63866, 0.21731395
1566315786035, 2.4002483, -0.4239185, 2.2968237, -0.55324954, 2.6273322, -1.1930962, -2.299906, 0.43569317
1566315786045, 3.1347148, 0.1341211, 2.2537134, 2.1746778, 2.5200295, -1.2804478, -2.0762005, 0.6327671
1566315786045, 2.993038, 0.91729254, 1.583108, 2.3686745, 2.584305, -1.3219932, -2.0698087, 0.8042747
1566315786055, 6.076551, 2.1195924, 0.88376224, 5.625901, 2.677366, -1.2612731, -2.1699438, 0.9321064
1566315786055, 6.5154133, 3.06802, 0.22992188, 5.743257, 2.784004, -1.1664646, -2.3265376, 0.98856544
1566315786065, 7.733452, 4.045188, -0.014370117, 6.591094, 2.881001, -1.0460896, -2.49698, 0.9853696
1566315786065, 8.651174, 5.2858086, -0.55803955, 6.825806, 2.9510212, -0.9406285, -2.6375947, 0.9310411
1566315786075, 7.9984436, 5.6282964, -0.364043, 5.6714063, 3.0016022, -0.8490158, -2.7409256, 0.8809737
1566315786075, 8.145476, 5.362449, 0.026345216, 6.1312504, 2.9505982, -0.7946873, -2.711098, 0.8511463
1566315786085, 6.506211, 5.242698, 0.11496094, 3.8511915, 2.9641993, -0.8085357, -2.722816, 0.8479505
