"TimeStamp(epoch)",mAccelerometerMagnitude(m/s^2),mAccelerometerX(m/s^2),mAccelerometerY(m/s^2),mAccelerometerZ(m/s^2),mGyroscopeMagnitude(rad/s),mGyroscopeX(rad/s),mGyroscopeY(rad/s),mGyroscopeZ(rad/s) 
1565632450409,7.3778987,3.0991554,2.7063723,6.1240654,3.9399738,-2.5672874,-1.6884441,2.466087
1565632450416,10.3443165,9.266331,-3.5039136,2.9770093,4.0877714,-2.8091023,-1.5840483,2.5118935
1565632450417,10.734783,9.472302,-3.8823268,3.2308815,4.3370113,-3.0200248,-1.6149409,2.6610305
1565632450417,12.119512,9.663904,-3.8823268,6.198311,4.294912,-2.9230857,-1.6330504,2.6897926
1565632450417,12.924008,10.284214,-4.517007,6.3923073,4.211945,-2.7526433,-1.7129452,2.6887274
1565632450418,14.382033,10.789563,-4.727769,8.250843,4.0862365,-2.5161545,-1.8109496,2.6620958
1565632450419,15.017635,10.93087,-4.521797,9.251961,3.9991877,-2.2658174,-1.9568908,2.6514432
1565632450419,15.580851,11.666141,-4.82357,9.13221,3.8883946,-1.973935,-2.1369205,2.5800705
1565632450419,16.97781,12.389437,-4.8834453,10.530901,3.7598348,-1.6618125,-2.2764702,2.4884577
1565632450422,16.455849,12.973822,-4.82357,8.899893,3.69199,-1.3677995,-2.4639566,2.385127
1565632450422,17.549255,13.5725765,-4.406836,10.214759,3.5724149,-1.0780476,-2.534264,2.275405
1565632450431,16.891893,14.410833,-4.478687,7.589817,3.4266205,-0.8628642,-2.5331988,2.1401162
1565632450432,16.997503,14.971268,-4.1984696,6.8665214,3.2412884,-0.74035877,-2.4192157,2.026133
1565632450441,16.06803,14.856307,-3.8679566,4.744534,3.0465865,-0.71585774,-2.2530344,1.9217371
1565632450442,14.911569,14.188096,-3.422483,3.056045,2.849981,-0.74035877,-2.0037625,1.8865833
1565632450452,14.102795,13.642032,-3.2644117,1.4585669,2.627999,-0.9598033,-1.5393071,1.901497
1565632450452,14.26103,13.704303,-3.2236965,2.2752686,2.7157035,-0.83942837,-1.7672738,1.8833876
